contact_index,start_time_s,end_time_s,contact_time_s,peak_Fz_N,mean_Fz_N,vertical_impulse_Ns,max_loading_rate_Ns,plate,participant,condition,trial
1,5.28,6.62,1.34,1226.8204593356581,858.5571404170746,1147.9658440660162,5495.887224987504,1,Blake,BL,T01
1,6.46,7.42,0.96,1050.8142053765087,804.7968009912671,769.9116855360223,8859.537464727986,2,Blake,BL,T01
